case_id,expected,actual,success,service_ok,validated,pooled_evidence_recall_at_4,citation_identity_correct,citation_count,validator_supported,validator_checked,elapsed_ms,reason_code
PUB-001,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,8,8,8,8,55115.22,INSUFFICIENT_EVIDENCE
PUB-002,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,True,True,1.0,9,9,6,6,37412.54,
PUB-003,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,True,True,1.0,1,1,1,1,38599.1,
PUB-004,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,7,7,5,5,37888.22,INSUFFICIENT_EVIDENCE
PUB-005,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,8,8,7,7,65260.19,INSUFFICIENT_EVIDENCE
PUB-006,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,11,11,9,9,64267.89,INSUFFICIENT_EVIDENCE
PUB-007,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,13,13,11,11,36717.32,INSUFFICIENT_EVIDENCE
PUB-008,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,True,True,1.0,2,2,2,2,36456.26,
PUB-009,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,10,10,9,9,52743.15,INSUFFICIENT_EVIDENCE
PUB-010,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,9,9,7,7,37430.22,INSUFFICIENT_EVIDENCE
PUB-011,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,7,7,7,7,38218.42,INSUFFICIENT_EVIDENCE
PUB-012,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,0.6666666666666666,6,6,6,6,68026.34,INSUFFICIENT_EVIDENCE
CAND-001,ADMISSIBLE,ADMISSIBLE,True,True,True,0.6666666666666666,9,9,6,6,36205.37,
CAND-002,ADMISSIBLE_WITH_LIMITS,ADMISSIBLE_WITH_LIMITS,True,True,True,1.0,7,7,6,6,38178.2,
CAND-003,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,True,True,1.0,1,1,1,1,28083.1,
CAND-004,NEEDS_REVIEW,NEEDS_REVIEW,True,True,True,1.0,7,7,6,6,36880.29,INSUFFICIENT_EVIDENCE
CAND-005,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,True,True,1.0,3,3,2,2,38688.63,
CAND-006,PARTIALLY_ADMISSIBLE,PARTIALLY_ADMISSIBLE,True,True,True,1.0,6,6,6,6,54592.76,
CAND-007,ADMISSIBLE,ADMISSIBLE,True,True,True,0.5,8,8,6,6,36926.11,
CAND-008,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,True,True,1.0,4,4,3,3,38065.36,
CAND-009,ADMISSIBLE,ADMISSIBLE,True,True,True,1.0,7,7,5,5,37135.2,
